Density,DielectricConstant,LossFactor
0.749,2.05,0.016
0.798,2.15,0.02
0.849,2.25,0.022
0.877,2.3,0.023
0.929,2.4,0.026
0.963,2.47,0.028
0.997,2.54,0.031
1.046,2.64,0.034
1.133,2.85,0.039
1.17,2.94,0.042
1.215,3.05,0.045
